Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,TANLA,EQ,1496.35,1441.0,1463.05,1407.55,1418.0,1417.65,1432.97,295913,42403477605000.0,27884,156403,0.5285
2022-03-08,TANLA,EQ,1417.65,1429.0,1440.0,1376.2,1405.8,1413.7,1409.55,322347,45436436145000.0,32859,127741,0.39630000000000004
2022-03-09,TANLA,EQ,1413.7,1450.0,1458.0,1415.65,1430.0,1430.0,1441.81,275854,39772797220000.0,23250,140712,0.5101
2022-03-10,TANLA,EQ,1430.0,1475.15,1518.0,1472.25,1482.0,1485.95,1496.11,281654,42138402765000.0,28348,116339,0.4131
2022-03-11,TANLA,EQ,1485.95,1488.0,1538.0,1470.15,1508.8,1508.1,1507.56,186902,28176639335000.004,18573,72200,0.38630000000000003
2022-03-14,TANLA,EQ,1508.1,1519.0,1519.0,1470.0,1490.5,1490.0,1491.3,150461,22438215460000.0,12030,71228,0.47340000000000004
2022-03-15,TANLA,EQ,1490.0,1490.0,1503.95,1450.0,1461.25,1455.95,1473.25,142988,21065744465000.0,11573,76952,0.5382
2022-03-16,TANLA,EQ,1455.95,1489.0,1496.25,1450.85,1470.0,1463.6,1470.7,157337,23139532650000.0,12782,82956,0.5273
2022-03-17,TANLA,EQ,1463.6,1485.25,1504.45,1420.2,1470.0,1465.95,1471.2,323869,47647616715000.0,17543,186957,0.5773
2022-03-21,TANLA,EQ,1465.95,1496.9,1542.0,1450.0,1462.55,1464.75,1496.67,275163,41182709970000.0,24181,126055,0.4581
2022-03-22,TANLA,EQ,1464.75,1483.3,1483.3,1425.65,1453.0,1449.05,1449.41,198693,28798685260000.004,15967,91602,0.461
2022-03-23,TANLA,EQ,1449.05,1464.95,1464.95,1415.1,1420.0,1420.8,1438.76,226302,32559342095000.0,18324,118360,0.523
2022-03-24,TANLA,EQ,1420.8,1390.0,1449.95,1390.0,1415.0,1413.7,1420.92,231903,32951561135000.004,20890,117097,0.5049
2022-03-25,TANLA,EQ,1413.7,1423.0,1426.25,1355.0,1385.0,1382.0,1388.22,326515,45327336875000.0,22557,200111,0.6129
2022-03-28,TANLA,EQ,1382.0,1371.15,1378.7,1301.05,1319.9,1319.1,1342.27,353690,47474808485000.0,32363,196847,0.5566
2022-03-29,TANLA,EQ,1319.1,1335.25,1451.0,1326.05,1440.0,1442.45,1421.9,971956,138202592934999.98,37528,352156,0.36229999999999996
2022-03-30,TANLA,EQ,1442.45,1464.95,1503.0,1451.0,1458.0,1457.75,1476.51,468069,69110816195000.01,35472,173225,0.3701
2022-03-31,TANLA,EQ,1457.75,1472.8,1539.95,1431.8,1534.0,1525.95,1493.02,546632,81613333560000.0,35279,237427,0.4343
2022-04-01,TANLA,EQ,1525.95,1539.0,1555.0,1465.2,1484.75,1484.2,1497.54,501016,75029227690000.0,40986,217684,0.43450000000000005
2022-04-04,TANLA,EQ,1484.2,1500.05,1523.45,1470.25,1485.0,1479.75,1495.49,291803,43638835225000.0,19930,125368,0.42960000000000004
2022-04-05,TANLA,EQ,1479.75,1494.6,1510.0,1479.05,1489.95,1487.2,1496.78,219654,32877301875000.0,12939,98975,0.45060000000000006
2022-04-06,TANLA,EQ,1487.2,1487.2,1514.4,1477.45,1493.1,1493.25,1494.86,146753,21937583855000.0,11718,68864,0.4693
2022-04-07,TANLA,EQ,1493.25,1495.0,1634.9,1495.0,1615.1,1608.2,1593.88,1409105,224594756585000.0,122221,318993,0.22640000000000002
2022-04-08,TANLA,EQ,1608.2,1620.0,1638.35,1561.5,1602.0,1611.7,1597.79,473567,75665962235000.0,40901,141097,0.2979
2022-04-11,TANLA,EQ,1611.7,1614.0,1624.95,1581.0,1592.5,1593.1,1604.72,275196,44161118685000.0,24586,102844,0.3737
2022-04-12,TANLA,EQ,1593.1,1601.35,1602.0,1543.0,1550.0,1552.45,1564.94,264830,41444242875000.0,28076,121569,0.459
2022-04-13,TANLA,EQ,1552.45,1560.0,1597.35,1518.05,1525.0,1523.95,1540.48,269878,41574254070000.0,18094,115983,0.42979999999999996
2022-04-18,TANLA,EQ,1523.95,1517.95,1517.95,1463.0,1466.95,1469.5,1482.43,198773,29466699275000.0,17424,88565,0.44560000000000005
2022-04-19,TANLA,EQ,1469.5,1475.5,1514.2,1425.0,1466.0,1473.0,1492.84,275297,41097439125000.0,19286,117290,0.42600000000000005
2022-04-20,TANLA,EQ,1473.0,1481.0,1509.0,1460.95,1480.0,1477.35,1480.64,185091,27405323730000.0,13230,72955,0.39420000000000005
2022-04-21,TANLA,EQ,1477.35,1485.0,1527.7,1485.0,1495.0,1491.25,1500.06,139433,20915791835000.0,8939,55211,0.396
2022-04-22,TANLA,EQ,1491.25,1488.0,1499.0,1466.0,1474.15,1471.05,1481.67,112325,16642850985000.0,9141,49863,0.4439
2022-04-25,TANLA,EQ,1471.05,1462.0,1462.0,1407.0,1428.0,1419.45,1430.89,142786,20431059500000.0,11528,69039,0.48350000000000004
2022-04-26,TANLA,EQ,1419.45,1440.0,1523.4,1440.0,1518.95,1514.2,1496.17,413897,61925867695000.01,30419,139691,0.3375
2022-04-27,TANLA,EQ,1514.2,1494.0,1498.05,1461.0,1468.0,1469.1,1473.3,123255,18159165035000.0,9453,49869,0.4046
2022-04-28,TANLA,EQ,1469.1,1475.0,1510.0,1471.05,1485.95,1488.6,1489.82,181199,26995433570000.0,12734,67203,0.37090000000000006
2022-04-29,TANLA,EQ,1488.6,1501.95,1501.95,1400.0,1425.0,1417.65,1448.33,253179,36668593820000.0,20969,130264,0.5145000000000001
2022-05-02,TANLA,EQ,1417.65,1403.0,1468.7,1377.15,1428.0,1430.4,1431.82,363041,51981010395000.0,20698,148710,0.4096
2022-05-04,TANLA,EQ,1430.4,1446.75,1504.0,1435.0,1437.0,1437.35,1464.69,286024,41893609255000.0,16964,119346,0.4173
2022-05-05,TANLA,EQ,1437.35,1480.0,1484.0,1410.0,1419.6,1419.8,1439.79,170399,24533861000000.0,12845,74962,0.4399
2022-05-06,TANLA,EQ,1419.8,1390.0,1397.8,1356.65,1375.0,1367.4,1375.01,246560,33902168975000.0,18138,122127,0.4953
2022-05-09,TANLA,EQ,1367.4,1350.0,1376.3,1303.0,1311.6,1308.95,1328.99,232094,30845042385000.004,19303,112131,0.48310000000000003
2022-05-10,TANLA,EQ,1308.95,1308.95,1328.5,1198.0,1225.0,1224.95,1264.19,274941,34757900989999.996,27059,140584,0.5113000000000001
2022-05-11,TANLA,EQ,1224.95,1225.0,1256.95,1158.7,1165.0,1177.4,1205.44,321532,38758708660000.0,21944,120295,0.3741
2022-05-12,TANLA,EQ,1177.4,1162.0,1217.9,1143.75,1177.0,1170.6,1183.98,378417,44803894600000.0,25106,115733,0.3058
2022-05-13,TANLA,EQ,1170.6,1200.0,1222.35,1170.0,1177.8,1181.25,1194.48,249337,29782822114999.996,17354,95045,0.3812
2022-05-16,TANLA,EQ,1181.25,1219.95,1225.0,1181.25,1215.0,1207.85,1205.62,174866,21082209555000.0,11136,57393,0.3282
2022-05-17,TANLA,EQ,1207.85,1219.0,1316.0,1186.0,1314.0,1303.55,1252.84,298926,37450768420000.0,18127,89695,0.30010000000000003
2022-05-18,TANLA,EQ,1303.55,1319.0,1320.0,1251.9,1262.0,1260.85,1278.44,290750,37170662490000.0,22162,105850,0.3641
2022-05-19,TANLA,EQ,1260.85,1225.0,1225.0,1152.0,1169.0,1164.5,1182.79,373306,44154332135000.0,25698,183013,0.4902
2022-05-20,TANLA,EQ,1164.5,1200.0,1219.95,1144.2,1178.0,1172.35,1172.3,343145,40227026715000.0,20507,116458,0.3394
2022-05-23,TANLA,EQ,1172.35,1179.0,1262.15,1157.35,1217.85,1216.75,1215.89,386757,47025438635000.0,24972,100416,0.2596
2022-05-24,TANLA,EQ,1216.75,1232.6,1310.0,1217.0,1289.0,1300.4,1269.73,626450,79541976690000.0,27170,150051,0.2395
2022-05-25,TANLA,EQ,1300.4,1291.0,1297.3,1260.0,1292.95,1280.9,1276.2,260947,33302014139999.996,15495,95216,0.3649
2022-05-26,TANLA,EQ,1280.9,1289.0,1327.95,1273.1,1298.0,1305.95,1297.55,241210,31298302455000.0,11778,89785,0.3722
2022-05-27,TANLA,EQ,1305.95,1321.0,1332.0,1272.75,1275.0,1278.35,1290.74,235001,30332504710000.004,12419,83549,0.3555
2022-05-30,TANLA,EQ,1278.35,1294.6,1357.9,1294.6,1330.95,1322.75,1327.43,358156,47542577870000.0,20648,121087,0.3381
2022-05-31,TANLA,EQ,1322.75,1329.4,1360.0,1300.0,1329.0,1328.5,1337.79,283616,37941741555000.0,15909,96595,0.3406
2022-06-01,TANLA,EQ,1328.5,1328.5,1379.9,1328.5,1372.6,1362.85,1357.47,234934,31891700610000.004,16360,81754,0.348
2022-06-02,TANLA,EQ,1362.85,1370.0,1423.0,1355.0,1414.0,1413.7,1403.08,321270,45076754830000.0,15413,100777,0.31370000000000003
2022-06-03,TANLA,EQ,1413.7,1432.9,1448.95,1398.2,1405.0,1405.0,1421.76,230928,32832472570000.0,13055,82131,0.3557
2022-06-06,TANLA,EQ,1405.0,1405.0,1405.0,1342.0,1365.95,1357.5,1362.22,119251,16244647150000.0,9308,42334,0.355
2022-06-07,TANLA,EQ,1357.5,1330.5,1346.45,1325.0,1325.05,1337.3,1335.01,99586,13294798435000.0,5374,42859,0.4304
2022-06-08,TANLA,EQ,1337.3,1346.95,1360.0,1325.0,1338.85,1339.1,1340.15,70111,9395942735000.0,6287,26876,0.3833
2022-06-09,TANLA,EQ,1339.1,1317.2,1334.65,1302.35,1319.8,1321.3,1321.7,126237,16684746519999.998,6067,56770,0.4497
2022-06-10,TANLA,EQ,1321.3,1300.0,1313.9,1270.0,1279.0,1276.8,1287.92,160242,20637965310000.0,12570,68398,0.4268
2022-06-13,TANLA,EQ,1276.8,1221.0,1235.0,1184.3,1199.0,1191.7,1206.3,214898,25923114910000.0,17572,89580,0.4168
2022-06-14,TANLA,EQ,1191.7,1180.0,1219.0,1124.6,1147.95,1141.5,1173.22,281554,33032347460000.004,22516,126944,0.4509
2022-06-15,TANLA,EQ,1141.5,1161.1,1177.9,1150.0,1156.0,1159.6,1163.7,133144,15493908510000.0,8513,54822,0.4117
2022-06-16,TANLA,EQ,1159.6,1190.0,1208.8,1075.0,1085.0,1080.1,1116.5,300821,33586735300000.0,24047,136390,0.4534
2022-06-17,TANLA,EQ,1080.1,1060.0,1107.35,1043.15,1078.95,1074.75,1074.18,355542,38191522265000.0,21370,145050,0.408
2022-06-20,TANLA,EQ,1074.75,1085.0,1090.2,981.2,998.95,993.65,1019.69,336153,34277255030000.0,19582,143230,0.4261
2022-06-21,TANLA,EQ,993.65,1020.0,1043.0,1001.0,1015.0,1011.35,1021.39,225900,23073235060000.0,12471,88537,0.39189999999999997
2022-06-22,TANLA,EQ,1011.35,1014.0,1014.0,962.0,969.9,966.75,981.68,246303,24179134985000.0,15809,109073,0.4428
2022-06-23,TANLA,EQ,966.75,966.75,966.75,938.0,950.0,948.45,950.62,380301,36152108280000.0,24374,125850,0.47130000000000005
2022-06-24,TANLA,EQ,948.45,960.85,1010.85,960.85,989.0,988.45,988.75,381897,37760248075000.0,20285,117375,0.3073
2022-06-27,TANLA,EQ,988.45,1029.0,1055.0,1015.0,1038.0,1028.0,1037.13,427203,44306587885000.0,27145,154309,0.36119999999999997
2022-06-28,TANLA,EQ,1028.0,1031.0,1032.0,1006.55,1018.0,1018.65,1017.56,158482,16126550910000.0,14477,68759,0.4339
2022-06-29,TANLA,EQ,1018.65,991.2,1028.3,983.0,1012.55,1006.65,1010.35,194620,19663372120000.0,20318,86002,0.44189999999999996
2022-06-30,TANLA,EQ,1006.65,1015.0,1065.85,995.0,1003.0,1004.65,1024.11,332525,34054303470000.0,27906,118003,0.35490000000000005
2022-07-01,TANLA,EQ,1004.65,998.0,1004.0,980.3,1002.0,1001.05,993.71,160015,15900907605000.002,12214,66977,0.4186
2022-07-04,TANLA,EQ,1001.05,1006.4,1011.25,990.0,998.0,997.85,998.53,117679,11750603485000.0,10052,48470,0.4119
2022-07-05,TANLA,EQ,997.85,1005.0,1021.95,995.0,1001.05,1002.35,1011.24,185918,18800787565000.0,13486,73840,0.3972
2022-07-06,TANLA,EQ,1002.35,1023.7,1025.0,981.1,995.0,990.9,991.78,182390,18089157285000.0,11564,84674,0.4642
2022-07-07,TANLA,EQ,990.9,1000.35,1016.0,990.0,1012.9,1007.5,1006.79,228071,22961886680000.0,13347,103770,0.455
2022-07-08,TANLA,EQ,1007.5,1020.0,1020.0,1001.65,1012.0,1010.7,1010.96,219458,22186382755000.0,21298,133008,0.6061
