Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,TITAN,EQ,2523.9,2536.5,2545.55,2483.0,2540.0,2535.9,2513.34,1316800,330956158350000.0,100692,458665,0.3483
2022-03-29,TITAN,EQ,2535.9,2550.0,2559.0,2525.3,2541.0,2538.8,2541.94,908172,230851934300000.0,53687,337657,0.3718
2022-03-30,TITAN,EQ,2538.8,2556.3,2565.75,2510.0,2520.8,2523.15,2536.83,866666,219858083830000.03,65448,360487,0.41590000000000005
2022-03-31,TITAN,EQ,2523.15,2525.25,2545.4,2519.95,2537.7,2536.15,2534.2,910316,230692119369999.97,67807,438334,0.4815
2022-04-01,TITAN,EQ,2536.15,2538.0,2550.0,2491.85,2526.0,2520.85,2510.21,1208002,303233267340000.0,72329,460383,0.3811
2022-04-04,TITAN,EQ,2520.85,2540.35,2562.0,2508.75,2514.95,2517.0,2526.48,1424995,360021884505000.0,62816,692834,0.48619999999999997
2022-04-05,TITAN,EQ,2517.0,2532.0,2577.8,2520.05,2549.9,2549.2,2552.85,1586304,404959633065000.0,86537,569692,0.3591
2022-04-06,TITAN,EQ,2549.2,2547.0,2564.9,2523.3,2529.95,2540.05,2543.41,1349078,343126381400000.0,79916,613329,0.4546
2022-04-07,TITAN,EQ,2540.05,2502.3,2544.45,2452.0,2457.0,2458.35,2480.98,2785215,691005929445000.0,187589,1226324,0.4403
2022-04-08,TITAN,EQ,2458.35,2468.35,2532.65,2465.0,2506.95,2509.95,2490.54,1217812,303300847680000.0,75284,349786,0.2872
2022-04-11,TITAN,EQ,2509.95,2503.0,2509.95,2477.4,2490.0,2489.85,2492.73,660112,164547819150000.0,60024,243284,0.3685
2022-04-12,TITAN,EQ,2489.85,2480.0,2508.5,2440.25,2485.0,2488.2,2474.98,1182427,292648476670000.0,66063,539968,0.45670000000000005
2022-04-13,TITAN,EQ,2488.2,2492.2,2495.95,2441.1,2461.5,2461.35,2465.68,1165453,287363603440000.0,69275,541735,0.4648
2022-04-18,TITAN,EQ,2461.35,2435.0,2500.0,2410.0,2493.25,2493.45,2461.41,1109814,273170529910000.0,74589,480656,0.43310000000000004
2022-04-19,TITAN,EQ,2493.45,2509.4,2520.6,2441.0,2441.25,2452.6,2493.73,929834,231875193650000.0,58595,432672,0.46530000000000005
2022-04-20,TITAN,EQ,2452.6,2453.05,2505.0,2442.7,2481.0,2482.7,2480.47,639190,158548883250000.0,48298,234735,0.36719999999999997
2022-04-21,TITAN,EQ,2482.7,2482.7,2524.95,2466.0,2522.0,2521.0,2507.76,880723,220864059360000.0,52825,501722,0.5697
2022-04-22,TITAN,EQ,2521.0,2515.0,2526.45,2476.5,2504.8,2512.7,2507.85,878780,220385077669999.97,44871,435268,0.4953
2022-04-25,TITAN,EQ,2512.7,2471.0,2489.0,2447.05,2455.0,2453.9,2463.38,682383,168096571305000.0,57119,240297,0.3521
2022-04-26,TITAN,EQ,2453.9,2460.0,2552.15,2459.0,2551.0,2548.2,2508.0,1232557,309124890095000.0,61241,602805,0.4891
2022-04-27,TITAN,EQ,2548.2,2528.65,2537.8,2488.25,2496.5,2492.35,2503.3,801135,200547880775000.0,50875,365504,0.4562
2022-04-28,TITAN,EQ,2492.35,2529.9,2531.0,2477.0,2507.0,2513.2,2506.87,933881,234111572835000.0,54560,451823,0.48380000000000006
2022-04-29,TITAN,EQ,2513.2,2521.0,2532.0,2450.0,2466.35,2458.2,2489.52,1496781,372625998580000.0,74394,852072,0.5693
2022-05-02,TITAN,EQ,2458.2,2435.0,2437.0,2372.35,2386.0,2386.55,2399.28,1287401,308883259205000.0,79270,530682,0.4122
2022-05-04,TITAN,EQ,2386.55,2356.0,2407.0,2275.0,2280.0,2289.95,2327.57,2357806,548795014100000.0,136419,823407,0.3492
2022-05-05,TITAN,EQ,2289.95,2309.0,2309.0,2252.15,2260.0,2262.0,2270.07,2118580,480932792695000.0,108894,1320157,0.6231
2022-05-06,TITAN,EQ,2262.0,2240.0,2240.0,2195.45,2215.15,2208.75,2214.31,1465638,324537912060000.0,96945,809904,0.5526
2022-05-09,TITAN,EQ,2208.75,2195.0,2213.35,2171.0,2189.0,2183.2,2188.42,968069,211854197265000.0,63411,438672,0.45310000000000006
2022-05-10,TITAN,EQ,2183.2,2180.0,2186.0,2125.0,2131.95,2137.35,2151.39,1092429,235024444650000.0,84827,528324,0.48360000000000003
2022-05-11,TITAN,EQ,2137.35,2127.2,2138.0,2095.75,2122.75,2114.7,2114.07,1472911,311384205835000.0,121081,767905,0.5214
2022-05-12,TITAN,EQ,2114.7,2102.0,2103.9,2035.55,2054.55,2048.55,2054.07,1362031,279770483980000.03,98413,694076,0.5096
