Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,WHIRLPOOL,EQ,1637.35,1629.0,1629.0,1574.7,1613.95,1610.45,1604.88,142700,22901595220000.0,30139,80075,0.5611
2022-03-08,WHIRLPOOL,EQ,1610.45,1628.95,1628.95,1560.05,1565.5,1569.35,1574.29,367315,57825940215000.0,19300,260087,0.7081000000000001
2022-03-09,WHIRLPOOL,EQ,1569.35,1584.0,1597.35,1560.05,1588.0,1589.9,1576.55,242979,38306764200000.0,16061,139128,0.5726
2022-03-10,WHIRLPOOL,EQ,1589.9,1629.9,1644.35,1595.0,1596.05,1606.4,1615.49,253861,41010940370000.0,22493,120929,0.4764
2022-03-11,WHIRLPOOL,EQ,1606.4,1606.4,1614.9,1565.5,1574.95,1573.9,1580.57,277619,43879589700000.0,17405,161049,0.5801
2022-03-14,WHIRLPOOL,EQ,1573.9,1574.1,1583.3,1532.1,1553.1,1554.5,1556.4,141999,22100715900000.0,12595,41854,0.2947
2022-03-15,WHIRLPOOL,EQ,1554.5,1554.5,1574.5,1545.0,1545.0,1557.0,1559.96,206583,32226122520000.0,14591,102838,0.4978
2022-03-16,WHIRLPOOL,EQ,1557.0,1574.0,1594.0,1565.35,1579.8,1580.95,1585.01,546349,86596930880000.0,25782,348574,0.638
2022-03-17,WHIRLPOOL,EQ,1580.95,1611.25,1683.0,1603.0,1652.0,1646.0,1655.39,1539365,254825147625000.0,88142,648757,0.4214
2022-03-21,WHIRLPOOL,EQ,1646.0,1672.8,1672.8,1631.3,1638.0,1636.95,1649.4,246755,40699820210000.0,17212,72623,0.2943
2022-03-22,WHIRLPOOL,EQ,1636.95,1646.0,1646.0,1573.4,1600.0,1600.15,1596.9,333589,53270819820000.0,23805,108587,0.32549999999999996
2022-03-23,WHIRLPOOL,EQ,1600.15,1610.0,1664.5,1610.0,1647.2,1637.85,1641.89,412684,67758041075000.0,30763,81731,0.198
2022-03-24,WHIRLPOOL,EQ,1637.85,1639.7,1656.6,1621.95,1627.05,1630.55,1633.43,238158,38901444260000.0,16317,90629,0.3805
2022-03-25,WHIRLPOOL,EQ,1630.55,1629.9,1640.7,1586.75,1600.0,1591.7,1605.34,199302,31994678039999.996,16689,77998,0.3914
2022-03-28,WHIRLPOOL,EQ,1591.7,1591.7,1603.9,1550.1,1568.0,1569.4,1568.97,203469,31923746750000.0,13135,78909,0.38780000000000003
2022-03-29,WHIRLPOOL,EQ,1569.4,1579.0,1590.8,1553.6,1565.0,1570.6,1574.51,196957,31011039220000.0,10649,88938,0.4516
2022-03-30,WHIRLPOOL,EQ,1570.6,1587.9,1594.5,1571.4,1575.15,1578.05,1580.89,172213,27224998160000.004,10953,89251,0.5183
2022-03-31,WHIRLPOOL,EQ,1578.05,1589.85,1589.85,1567.35,1570.0,1572.85,1572.98,165501,26032910735000.0,8597,95936,0.5797
2022-04-01,WHIRLPOOL,EQ,1572.85,1580.0,1613.25,1570.0,1604.9,1603.65,1599.93,166665,26665305625000.0,9421,66015,0.3961
2022-04-04,WHIRLPOOL,EQ,1603.65,1616.5,1639.0,1603.65,1632.95,1633.3,1628.6,173747,28296378660000.004,12410,79110,0.45530000000000004
