Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-07,ZYDUSWELL,EQ,1564.6,1522.0,1548.5,1471.0,1485.0,1489.35,1514.66,28054,4249235340000.0,4274,17091,0.6092000000000001
2022-03-08,ZYDUSWELL,EQ,1489.35,1505.75,1513.65,1490.05,1501.75,1498.95,1499.67,44616,6690938650000.0,4128,31200,0.6993
2022-03-09,ZYDUSWELL,EQ,1498.95,1525.0,1525.0,1495.0,1500.0,1507.8,1509.72,52795,7970541309999.999,5337,38531,0.7298
2022-03-10,ZYDUSWELL,EQ,1507.8,1550.0,1577.95,1532.95,1533.5,1536.4,1549.84,38484,5964412005000.0,4134,23013,0.598
2022-03-11,ZYDUSWELL,EQ,1536.4,1530.0,1548.7,1515.0,1526.95,1522.6,1541.28,42519,6553377780000.0,2625,33275,0.7826000000000001
2022-03-14,ZYDUSWELL,EQ,1522.6,1535.6,1546.7,1503.0,1505.0,1508.1,1519.44,38176,5800628310000.0,5650,17614,0.46140000000000003
2022-03-15,ZYDUSWELL,EQ,1508.1,1500.0,1548.75,1500.0,1530.0,1529.35,1529.19,38606,5903576040000.0,4993,16934,0.4386
2022-03-16,ZYDUSWELL,EQ,1529.35,1542.95,1547.95,1511.0,1517.55,1524.0,1528.12,17361,2652969625000.0,2645,11524,0.6638
2022-03-17,ZYDUSWELL,EQ,1524.0,1530.0,1543.5,1481.05,1493.0,1497.6,1516.7,60978,9248524690000.0,7874,40335,0.6615000000000001
2022-03-21,ZYDUSWELL,EQ,1497.6,1492.0,1513.95,1470.0,1478.9,1478.2,1492.16,40018,5971336340000.0,8456,23993,0.5996
2022-03-22,ZYDUSWELL,EQ,1478.2,1478.2,1494.0,1468.0,1471.75,1472.95,1481.22,52151,7724736305000.0,11658,31707,0.608
2022-03-23,ZYDUSWELL,EQ,1472.95,1472.95,1527.55,1460.0,1470.2,1470.6,1482.27,257679,38195074580000.0,11675,213444,0.8283
2022-03-24,ZYDUSWELL,EQ,1470.6,1470.6,1508.65,1462.2,1482.0,1487.3,1489.97,68000,10131819405000.0,8561,43522,0.64
2022-03-25,ZYDUSWELL,EQ,1487.3,1488.0,1497.0,1467.05,1480.1,1475.15,1479.6,19387,2868507900000.0,2717,10771,0.5556
2022-03-28,ZYDUSWELL,EQ,1475.15,1475.15,1481.55,1442.05,1469.95,1464.45,1458.77,30999,4522044865000.0,3805,16852,0.5436
2022-03-29,ZYDUSWELL,EQ,1464.45,1465.0,1475.0,1447.35,1468.4,1468.25,1464.13,29398,4304262754999.9995,3192,18143,0.6172
2022-03-30,ZYDUSWELL,EQ,1468.25,1470.0,1523.7,1470.0,1522.2,1508.25,1493.92,82629,12344090695000.0,11802,56125,0.6792
2022-03-31,ZYDUSWELL,EQ,1508.25,1522.2,1536.1,1483.6,1505.0,1501.15,1507.53,56799,8562638350000.0,7622,22923,0.4036
2022-04-01,ZYDUSWELL,EQ,1501.15,1515.0,1565.0,1508.9,1556.0,1559.6,1543.68,48933,7553670605000.0,4734,25714,0.5255
2022-04-04,ZYDUSWELL,EQ,1559.6,1575.85,1584.3,1561.1,1574.95,1574.6,1577.13,35203,5551988115000.0,4152,17866,0.5075000000000001
2022-04-05,ZYDUSWELL,EQ,1574.6,1582.5,1623.7,1575.0,1580.0,1580.65,1597.16,50994,8144536255000.0,6762,24019,0.47100000000000003
2022-04-06,ZYDUSWELL,EQ,1580.65,1588.6,1620.05,1576.8,1616.0,1614.35,1598.62,29417,4702669255000.0,4992,14044,0.47740000000000005
2022-04-07,ZYDUSWELL,EQ,1614.35,1627.7,1663.7,1585.0,1592.0,1593.6,1629.5,58533,9537926915000.0,8853,28583,0.4883
2022-04-08,ZYDUSWELL,EQ,1593.6,1610.0,1662.0,1600.0,1624.0,1625.85,1633.61,35316,5769240245000.0,4285,14513,0.41090000000000004
2022-04-11,ZYDUSWELL,EQ,1625.85,1643.05,1655.0,1630.1,1638.5,1648.55,1643.01,27579,4531260365000.0,3354,16203,0.5875
2022-04-12,ZYDUSWELL,EQ,1648.55,1648.55,1660.0,1601.1,1660.0,1654.35,1636.49,36613,5991669065000.0,4455,18383,0.5021
2022-04-13,ZYDUSWELL,EQ,1654.35,1662.65,1693.85,1662.6,1665.0,1668.55,1674.67,23427,3923246495000.0005,3308,13049,0.557
2022-04-18,ZYDUSWELL,EQ,1668.55,1675.0,1676.85,1620.0,1644.7,1640.3,1638.89,19445,3186826825000.0,3131,10707,0.5506000000000001
2022-04-19,ZYDUSWELL,EQ,1640.3,1648.55,1669.15,1580.0,1600.6,1616.5,1651.28,20865,3445386295000.0005,2844,11103,0.5321
2022-04-20,ZYDUSWELL,EQ,1616.5,1610.0,1657.0,1610.0,1625.0,1624.65,1634.03,16659,2722124880000.0,2576,8129,0.488
2022-04-21,ZYDUSWELL,EQ,1624.65,1641.95,1665.05,1641.2,1653.0,1649.75,1651.78,15877,2622532600000.0,3139,7133,0.44930000000000003
2022-04-22,ZYDUSWELL,EQ,1649.75,1626.9,1669.9,1626.55,1645.0,1644.1,1654.91,16673,2759229590000.0,2496,8829,0.5295000000000001
2022-04-25,ZYDUSWELL,EQ,1644.1,1640.0,1657.95,1614.05,1626.85,1632.45,1639.29,26606,4361489010000.0,3736,13418,0.5043
