Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,ADANIGREEN,EQ,1921.25,1932.95,1940.65,1895.45,1935.2,1930.85,1917.89,746161,143105357485000.0,27656,364307,0.4882
2022-03-29,ADANIGREEN,EQ,1930.85,1935.2,1947.0,1904.0,1926.0,1923.3,1921.74,481913,92611077075000.0,23039,178664,0.37070000000000003
2022-03-30,ADANIGREEN,EQ,1923.3,1936.0,2039.8,1776.25,1829.0,1857.15,1937.9,2316424,448900618850000.0,106892,789654,0.34090000000000004
2022-03-31,ADANIGREEN,EQ,1857.15,1890.0,1940.0,1876.25,1928.0,1914.7,1906.02,1144220,218090837140000.0,59793,417001,0.3644
2022-04-01,ADANIGREEN,EQ,1914.7,1935.55,1965.45,1907.2,1954.1,1945.1,1932.26,1015269,196176394935000.0,43342,337637,0.3326
2022-04-04,ADANIGREEN,EQ,1945.1,1978.0,2139.6,1941.25,2136.65,2110.45,2026.86,1898588,384816332615000.0,67543,699493,0.36840000000000006
2022-04-05,ADANIGREEN,EQ,2110.45,2152.7,2209.95,2122.0,2192.0,2189.8,2175.67,2206673,480099339420000.0,99162,519914,0.2356
2022-04-06,ADANIGREEN,EQ,2189.8,2210.0,2250.0,2158.0,2191.35,2197.4,2207.24,1558568,344014082835000.0,78222,436698,0.2802
2022-04-07,ADANIGREEN,EQ,2197.4,2218.0,2329.75,2084.85,2170.0,2166.0,2220.42,2665993,591961100030000.0,148183,673648,0.2527
2022-04-08,ADANIGREEN,EQ,2166.0,2230.0,2368.9,2211.1,2340.0,2321.85,2296.79,2497727,573674382035000.0,153581,432060,0.17300000000000001
2022-04-11,ADANIGREEN,EQ,2321.85,2415.0,2786.2,2390.0,2786.2,2665.15,2551.25,4757168,1213670623940000.0,269231,1125940,0.23670000000000002
2022-04-12,ADANIGREEN,EQ,2665.15,2840.0,2955.0,2725.5,2800.0,2792.4,2832.45,7836658,2219693571309999.8,434761,1398119,0.1784
2022-04-13,ADANIGREEN,EQ,2792.4,2880.0,2950.0,2775.4,2869.95,2864.3,2861.27,2316844,662912491760000.0,119309,751825,0.3245
2022-04-18,ADANIGREEN,EQ,2864.3,2850.0,3011.9,2652.0,2973.0,2970.5,2893.44,2419364,700028340055000.0,129242,892500,0.3689
2022-04-19,ADANIGREEN,EQ,2970.5,3035.0,3050.0,2750.0,2890.0,2911.95,2979.34,2529522,753631431080000.0,125637,916746,0.3624
2022-04-20,ADANIGREEN,EQ,2911.95,2966.55,2990.05,2762.3,2838.0,2810.85,2883.18,1065499,307202225045000.0,83748,351262,0.3297
2022-04-21,ADANIGREEN,EQ,2810.85,2859.0,2870.0,2750.0,2822.15,2811.5,2806.75,1122487,315053757520000.0,85554,425774,0.3793
2022-04-22,ADANIGREEN,EQ,2811.5,2830.0,2979.5,2810.0,2859.0,2882.8,2880.84,7604326,2190685636350000.0,116515,5031930,0.6617000000000001
2022-04-25,ADANIGREEN,EQ,2882.8,2825.15,2858.8,2800.0,2823.0,2824.0,2825.09,682910,192928305425000.0,45188,214823,0.3146
2022-04-26,ADANIGREEN,EQ,2824.0,2861.0,2976.0,2850.0,2965.0,2952.45,2919.96,1401444,409216042965000.0,78846,570001,0.4067
2022-04-27,ADANIGREEN,EQ,2952.45,2955.0,2955.0,2821.5,2835.3,2841.65,2872.64,982473,282228756450000.0,73936,397475,0.4046
2022-04-28,ADANIGREEN,EQ,2841.65,2897.8,2945.85,2832.2,2916.0,2912.2,2896.53,887135,256961363160000.0,65560,411320,0.4636
2022-04-29,ADANIGREEN,EQ,2912.2,2935.0,3000.0,2844.8,2878.0,2882.8,2919.09,1101232,321460037270000.0,86232,465046,0.42229999999999995
2022-05-02,ADANIGREEN,EQ,2882.8,2860.0,2895.0,2809.0,2833.0,2830.35,2837.66,374592,106296638075000.0,39533,171380,0.4575
2022-05-04,ADANIGREEN,EQ,2830.35,2800.0,2800.0,2628.55,2665.0,2671.35,2688.78,862120,231804715469999.97,79824,358151,0.4154
2022-05-05,ADANIGREEN,EQ,2671.35,2744.0,2890.0,2725.0,2870.0,2845.9,2807.83,865154,242920451165000.0,69362,353540,0.4086
2022-05-06,ADANIGREEN,EQ,2845.9,2813.9,2955.0,2740.0,2856.05,2874.8,2854.8,910667,259976904115000.0,76495,301295,0.3309
2022-05-09,ADANIGREEN,EQ,2874.8,2805.1,2840.0,2675.0,2690.0,2706.4,2749.47,581855,159979369520000.0,49477,252902,0.43460000000000004
2022-05-10,ADANIGREEN,EQ,2706.4,2696.0,2739.4,2461.05,2493.45,2486.7,2565.99,818487,210022643215000.0,73745,351011,0.4289
2022-05-11,ADANIGREEN,EQ,2486.7,2535.0,2710.0,2486.7,2694.0,2648.05,2598.68,1287498,334579722180000.0,113028,335574,0.2606
2022-05-12,ADANIGREEN,EQ,2648.05,2700.0,2720.0,2402.0,2432.95,2436.8,2524.01,890166,224678529230000.03,91459,309549,0.34770000000000006
