Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,CENTURYTEX,EQ,845.85,849.0,849.65,819.9,832.0,831.25,829.34,207373,17198370365000.0,7079,71983,0.3471
2022-03-29,CENTURYTEX,EQ,831.25,835.9,864.1,835.9,859.0,859.45,853.94,288014,24594671605000.0,10080,83792,0.2909
2022-03-30,CENTURYTEX,EQ,859.45,864.4,876.4,858.15,860.0,861.6,865.88,194810,16868218105000.002,6372,66637,0.3421
2022-03-31,CENTURYTEX,EQ,861.6,861.6,874.6,846.45,849.05,854.6,864.61,214315,18529837885000.0,9077,67543,0.3152
2022-04-01,CENTURYTEX,EQ,854.6,851.25,879.9,846.0,866.0,859.75,865.09,370780,32075711960000.004,9892,60850,0.1641
2022-04-04,CENTURYTEX,EQ,859.75,867.5,884.6,861.0,870.6,872.0,872.24,259600,22643224120000.0,8020,57878,0.223
2022-04-05,CENTURYTEX,EQ,872.0,877.5,890.9,866.0,869.0,870.7,879.2,468521,41192448665000.0,14263,83043,0.1772
2022-04-06,CENTURYTEX,EQ,870.7,869.9,887.05,857.0,859.95,860.35,869.58,317726,27628794235000.004,6761,109807,0.3456
2022-04-07,CENTURYTEX,EQ,860.35,864.65,932.0,860.8,922.45,924.05,905.06,1859595,168304480040000.0,50499,455721,0.2451
2022-04-08,CENTURYTEX,EQ,924.05,919.0,931.95,907.15,925.0,921.1,917.66,464182,42596051390000.0,15837,73525,0.1584
2022-04-11,CENTURYTEX,EQ,921.1,919.9,942.95,912.15,933.1,938.0,929.71,489402,45500060875000.0,16954,97503,0.19920000000000002
2022-04-12,CENTURYTEX,EQ,938.0,933.0,949.9,915.5,918.05,921.35,935.12,482421,45112041950000.0,16421,104829,0.21730000000000002
2022-04-13,CENTURYTEX,EQ,921.35,929.95,929.95,892.05,899.0,899.85,910.55,186744,17004051485000.0,11009,53094,0.2843
2022-04-18,CENTURYTEX,EQ,899.85,899.0,902.5,873.0,885.8,889.3,886.15,229422,20330249605000.0,6996,51524,0.22460000000000002
2022-04-19,CENTURYTEX,EQ,889.3,889.9,915.7,849.5,851.0,857.2,884.4,365321,32308990180000.0,11937,138773,0.3799
2022-04-20,CENTURYTEX,EQ,857.2,869.4,884.05,860.55,869.0,868.8,874.36,192414,16823847369999.998,7728,56268,0.2924
2022-04-21,CENTURYTEX,EQ,868.8,874.75,888.45,871.65,881.0,880.2,881.48,186421,16432675015000.0,5724,40777,0.2187
