Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,COROMANDEL,EQ,793.75,796.0,800.0,780.1,799.0,798.5,791.9,256855,20340325295000.0,13554,96874,0.3772
2022-03-29,COROMANDEL,EQ,798.5,802.7,819.0,799.8,809.0,808.45,808.4,694681,56157987590000.0,28191,354160,0.5098
2022-03-30,COROMANDEL,EQ,808.45,815.15,815.75,793.05,795.0,796.65,799.78,262687,21009255645000.0,17937,106260,0.4045
2022-03-31,COROMANDEL,EQ,796.65,795.0,807.4,786.85,800.0,799.6,797.71,276685,22071434790000.0,16324,134159,0.48490000000000005
2022-04-01,COROMANDEL,EQ,799.6,805.95,805.95,793.0,797.0,797.05,797.85,377033,30081655155000.0,10441,255809,0.6785
2022-04-04,COROMANDEL,EQ,797.05,808.0,810.7,800.25,810.0,807.4,806.67,481349,38828959920000.0,20049,307300,0.6384000000000001
2022-04-05,COROMANDEL,EQ,807.4,812.0,834.9,805.0,823.5,824.05,826.26,984765,81367496130000.0,35523,447052,0.454
2022-04-06,COROMANDEL,EQ,824.05,816.6,847.0,816.6,830.15,831.25,834.42,498253,41575216875000.0,20127,189523,0.3804
2022-04-07,COROMANDEL,EQ,831.25,831.0,839.35,814.05,817.0,818.4,829.51,594427,49308537915000.0,10346,383180,0.6446
2022-04-08,COROMANDEL,EQ,818.4,823.0,848.0,810.1,835.0,833.2,838.27,549611,46072245200000.0,15649,277370,0.5047
2022-04-11,COROMANDEL,EQ,833.2,837.6,849.8,835.15,839.0,839.8,842.07,246185,20730618825000.0,13260,137933,0.5603
2022-04-12,COROMANDEL,EQ,839.8,839.9,852.95,822.0,825.6,827.85,837.7,541765,45383505520000.0,20842,235857,0.4353
2022-04-13,COROMANDEL,EQ,827.85,833.0,844.25,828.0,839.7,840.65,836.67,234571,19625882735000.0,11087,83766,0.35710000000000003
2022-04-18,COROMANDEL,EQ,840.65,840.65,862.25,832.15,853.85,856.0,851.16,737870,62804527754999.99,27629,358292,0.48560000000000003
2022-04-19,COROMANDEL,EQ,856.0,865.0,866.4,819.0,821.7,832.4,853.57,511141,43629695440000.0,30030,189449,0.37060000000000004
2022-04-20,COROMANDEL,EQ,832.4,832.4,843.0,826.7,834.45,837.5,835.7,268339,22425045870000.0,12867,128358,0.4783
2022-04-21,COROMANDEL,EQ,837.5,839.8,855.0,820.35,838.95,838.95,837.63,622832,52170018060000.0,24659,272037,0.4368
2022-04-22,COROMANDEL,EQ,838.95,837.0,850.45,827.0,832.6,830.5,838.08,274186,22979033675000.0,11212,115010,0.41950000000000004
2022-04-25,COROMANDEL,EQ,830.5,827.0,833.25,810.0,832.0,827.55,823.62,402407,33143077980000.0,17849,215762,0.5362
2022-04-26,COROMANDEL,EQ,827.55,834.75,848.95,827.0,845.0,846.5,840.34,222419,18690760015000.0,17445,99984,0.4495
2022-04-27,COROMANDEL,EQ,846.5,840.05,857.85,826.85,848.0,847.65,846.35,255284,21605881550000.0,15171,76604,0.30010000000000003
2022-04-28,COROMANDEL,EQ,847.65,860.0,921.0,855.9,906.05,899.15,889.84,3652818,325043315495000.0,123794,808138,0.2212
2022-04-29,COROMANDEL,EQ,899.15,910.15,918.0,888.85,894.1,894.55,905.06,1189484,107655064580000.0,45488,208760,0.17550000000000002
2022-05-02,COROMANDEL,EQ,894.55,893.0,917.95,888.65,912.95,910.1,910.01,1040924,94725106805000.0,38102,247959,0.2382
2022-05-04,COROMANDEL,EQ,910.1,920.0,925.0,894.75,907.1,906.85,910.35,526256,47907628910000.0,24662,230227,0.4375
2022-05-05,COROMANDEL,EQ,906.85,914.25,925.0,907.0,913.35,912.45,914.94,478009,43734726835000.0,29101,274621,0.5745
