Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,DBL,EQ,244.7,250.0,251.0,235.1,236.4,236.7,240.83,1193099,28733622795000.0,22767,512733,0.42969999999999997
2022-03-29,DBL,EQ,236.7,239.4,243.45,233.9,240.5,241.0,238.2,959970,22866635490000.0,14879,328752,0.3425
2022-03-30,DBL,EQ,241.0,243.85,262.0,241.1,249.05,249.55,252.19,1865253,47039373190000.0,24455,584793,0.3135
2022-03-31,DBL,EQ,249.55,250.4,251.7,240.0,240.65,241.1,245.49,626149,15371616869999.998,8845,344125,0.5496
2022-04-01,DBL,EQ,241.1,242.0,255.0,241.75,252.5,253.15,249.65,656123,16380380355000.002,9846,272772,0.4157
2022-04-04,DBL,EQ,253.15,254.45,257.2,251.0,252.1,251.7,252.35,774590,19546891665000.0,10667,435313,0.562
2022-04-05,DBL,EQ,251.7,252.1,302.0,252.05,302.0,302.0,290.88,8739002,254199151085000.0,103664,1404825,0.1608
2022-04-06,DBL,EQ,302.0,302.0,309.9,284.4,286.95,287.15,295.23,4836146,142778983780000.0,81151,1143252,0.2364
2022-04-07,DBL,EQ,287.15,292.95,297.4,286.1,291.55,291.5,292.02,1442239,42115870500000.0,19031,412704,0.2862
2022-04-08,DBL,EQ,291.5,294.4,295.5,286.0,287.0,287.2,289.02,650454,18799682610000.0,10017,200757,0.3086
2022-04-11,DBL,EQ,287.2,287.1,317.55,287.05,304.75,304.55,307.31,4561851,140188026865000.02,62195,843009,0.18480000000000002
2022-04-12,DBL,EQ,304.55,305.0,305.0,291.9,293.0,293.2,296.7,997822,29605196780000.0,14753,289938,0.29059999999999997
2022-04-13,DBL,EQ,293.2,296.0,303.2,293.1,294.8,294.65,297.74,755633,22498589115000.0,12284,234490,0.3103
2022-04-18,DBL,EQ,294.65,290.0,292.5,282.4,286.0,284.5,286.48,533002,15269552050000.0,9596,195035,0.36590000000000006
2022-04-19,DBL,EQ,284.5,286.8,293.85,271.1,271.8,277.25,285.51,492479,14060717130000.002,9597,159290,0.3234
2022-04-20,DBL,EQ,277.25,279.8,281.3,271.4,274.0,272.75,275.45,496125,13665555219999.998,9227,176560,0.35590000000000005
2022-04-21,DBL,EQ,272.75,274.95,287.9,274.1,279.0,277.0,280.04,644211,18040497100000.0,13492,188093,0.292
2022-04-22,DBL,EQ,277.0,274.55,278.0,271.1,271.95,272.3,274.09,322493,8839269915000.0,6873,143435,0.4448
2022-04-25,DBL,EQ,272.3,270.0,270.0,261.45,263.5,262.8,264.49,383029,10130892825000.0,8062,144512,0.37729999999999997
2022-04-26,DBL,EQ,262.8,266.0,267.8,264.25,266.0,265.8,265.92,271342,7215557159999.999,5668,116670,0.43
2022-04-27,DBL,EQ,265.8,265.9,286.45,264.8,272.2,272.6,277.42,2317605,64295156110000.0,41048,323767,0.13970000000000002
2022-04-28,DBL,EQ,272.6,275.0,277.6,268.2,270.0,269.6,271.49,366210,9942395085000.0,6162,107038,0.2923
2022-04-29,DBL,EQ,269.6,271.0,273.65,262.0,264.2,263.75,267.25,372440,9953345185000.0,6758,133008,0.35710000000000003
2022-05-02,DBL,EQ,263.75,260.0,262.9,254.0,256.5,255.9,257.25,311496,8013251565000.001,6600,117927,0.3786
2022-05-04,DBL,EQ,255.9,257.4,259.8,245.3,248.2,247.8,251.72,353874,8907669470000.0,8297,138068,0.39020000000000005
2022-05-05,DBL,EQ,247.8,249.8,253.0,245.3,246.95,246.75,248.16,322989,8015180215000.001,6708,100641,0.3116
2022-05-06,DBL,EQ,246.75,243.0,243.05,230.0,231.5,232.45,236.05,583723,13778806250000.0,11585,298529,0.5114
2022-05-09,DBL,EQ,232.45,221.35,239.9,221.35,235.9,235.25,232.79,732185,17044288655000.002,15112,169916,0.2321
2022-05-10,DBL,EQ,235.25,235.0,240.65,228.5,229.0,229.75,234.62,357493,8387363270000.0,7204,98524,0.2756
2022-05-11,DBL,EQ,229.75,231.9,232.9,214.45,219.95,219.35,220.93,569355,12578612140000.0,10484,177160,0.31120000000000003
2022-05-12,DBL,EQ,219.35,218.0,218.35,211.0,212.3,211.7,213.2,447230,9534853260000.0,7336,163742,0.3661
2022-05-13,DBL,EQ,211.7,215.0,232.85,215.0,227.0,226.4,225.72,1021557,23058795210000.0,20136,180154,0.1764
2022-05-16,DBL,EQ,226.4,229.5,230.15,221.25,224.9,223.5,224.64,283563,6369851215000.0,6738,63665,0.2245
2022-05-17,DBL,EQ,223.5,225.0,235.0,224.1,233.3,232.2,229.68,398444,9151365235000.0,8128,126825,0.31829999999999997
2022-05-18,DBL,EQ,232.2,234.0,238.6,230.15,233.0,232.05,234.41,340668,7985656730000.0,6644,94686,0.2779
2022-05-19,DBL,EQ,232.05,225.0,227.25,222.25,225.0,224.25,224.71,212292,4770518630000.0,4688,69909,0.3293
2022-05-20,DBL,EQ,224.25,228.85,231.45,226.6,229.0,228.95,228.93,253728,5808563650000.0,6765,88421,0.34850000000000003
2022-05-23,DBL,EQ,228.95,233.0,236.25,227.0,229.0,229.2,231.99,284504,6600274645000.0,7217,91865,0.3229
2022-05-24,DBL,EQ,229.2,230.0,232.0,222.85,225.0,224.5,226.14,182430,4125458050000.0,6639,65251,0.3577
2022-05-25,DBL,EQ,224.5,225.65,228.95,217.4,219.0,219.15,221.2,288453,6380482475000.0,6629,96275,0.33380000000000004
2022-05-26,DBL,EQ,219.15,220.0,229.0,212.0,221.7,221.6,217.69,428567,9329460100000.0,10118,105819,0.2469
2022-05-27,DBL,EQ,221.6,223.5,227.65,221.85,223.8,222.85,224.32,234415,5258446760000.0,6605,67260,0.28690000000000004
2022-05-30,DBL,EQ,222.85,226.15,243.0,226.15,236.45,235.95,235.69,759723,17906179775000.0,16552,190749,0.2511
2022-05-31,DBL,EQ,235.95,229.0,237.7,224.6,226.3,227.95,229.91,859445,19759160855000.0,14641,236163,0.2748
2022-06-01,DBL,EQ,227.95,229.0,246.85,228.5,240.2,241.7,242.42,2207201,53507526245000.0,34620,327650,0.1484
2022-06-02,DBL,EQ,241.7,238.0,240.8,235.1,237.5,237.05,237.29,382763,9082540035000.0,7566,86675,0.22640000000000002
2022-06-03,DBL,EQ,237.05,241.0,243.7,231.35,233.45,233.05,237.4,512552,12167739310000.0,9902,148972,0.29059999999999997
2022-06-06,DBL,EQ,233.05,230.0,236.8,227.45,233.85,235.1,231.85,290413,6733213265000.001,5687,73512,0.2531
2022-06-07,DBL,EQ,235.1,234.95,234.95,227.55,230.25,229.05,230.34,184259,4244298700000.0,3984,71089,0.3858
2022-06-08,DBL,EQ,229.05,232.95,233.4,228.05,229.25,231.2,230.57,256715,5919101025000.0,6143,71239,0.2775
2022-06-09,DBL,EQ,231.2,229.75,231.7,226.5,228.15,228.15,228.67,149659,3422297129999.9995,3989,46773,0.3125
2022-06-10,DBL,EQ,228.15,225.9,238.95,222.4,227.3,227.3,231.81,648633,15036258180000.002,13530,114053,0.17579999999999998
2022-06-13,DBL,EQ,227.3,222.9,224.6,214.0,216.0,215.1,219.16,330343,7239686000000.0,6853,140504,0.4253
2022-06-14,DBL,EQ,215.1,211.2,219.5,211.2,213.4,216.0,216.39,339142,7338837159999.999,6359,86410,0.2548
2022-06-15,DBL,EQ,216.0,217.8,220.0,214.1,215.55,216.0,217.05,244683,5310756635000.0,5183,56027,0.22899999999999998
