Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,ITC,EQ,253.35,254.0,258.0,252.55,256.2,257.05,255.73,24916402,637189006265000.0,156533,13738059,0.5514
2022-03-29,ITC,EQ,257.05,257.05,257.5,253.75,254.3,254.6,255.06,18122714,462245413639999.94,114137,10020467,0.5529000000000001
2022-03-30,ITC,EQ,254.6,255.1,256.4,248.65,249.05,249.2,251.58,17603827,442875007705000.0,125981,9256409,0.5258
2022-03-31,ITC,EQ,249.2,249.6,254.35,249.5,250.7,250.65,251.19,25656796,644467825465000.0,131890,16752131,0.6529
2022-04-01,ITC,EQ,250.65,250.0,255.35,248.8,255.05,253.3,251.32,14305709,359527935080000.0,114531,7210970,0.5041
2022-04-04,ITC,EQ,253.3,253.1,257.9,251.1,255.75,255.45,254.24,15907398,404424581955000.0,109421,7883260,0.49560000000000004
2022-04-05,ITC,EQ,255.45,256.05,261.85,255.1,259.0,259.45,258.9,27183142,703772912180000.0,178177,12451681,0.4581
2022-04-06,ITC,EQ,259.45,257.5,263.35,257.3,260.0,259.6,260.2,19597941,509932048539999.94,155736,8355630,0.4264
2022-04-07,ITC,EQ,259.6,258.0,262.2,255.8,256.7,256.65,258.62,16061089,415364142265000.0,126604,8700729,0.5417000000000001
2022-04-08,ITC,EQ,256.65,258.0,268.85,256.0,268.75,267.8,263.51,37826800,996780207385000.0,232170,15268435,0.4036
2022-04-11,ITC,EQ,267.8,268.75,273.15,266.0,267.1,267.5,269.3,46147653,1242733307840000.0,269185,17956565,0.3891
2022-04-12,ITC,EQ,267.5,266.9,268.65,263.1,264.6,264.8,265.72,23553762,625860371905000.0,150370,10509218,0.4462
2022-04-13,ITC,EQ,264.8,265.3,270.6,263.65,269.1,269.55,267.07,21414383,571918351130000.0,144139,8889619,0.41509999999999997
2022-04-18,ITC,EQ,269.55,268.0,272.5,267.25,270.35,270.1,269.67,24399444,657989997995000.0,189235,11607148,0.4757
2022-04-19,ITC,EQ,270.1,272.0,272.5,258.8,259.25,261.55,267.74,23380138,625980907000000.0,201593,11502363,0.49200000000000005
2022-04-20,ITC,EQ,261.55,262.9,265.45,257.55,259.8,259.55,260.75,24510612,639116121015000.0,205236,11056033,0.4511
2022-04-21,ITC,EQ,259.55,259.7,264.45,259.6,260.25,260.4,261.61,23412279,612499884510000.0,163869,13185005,0.5632
2022-04-22,ITC,EQ,260.4,260.0,263.0,258.55,261.1,261.1,260.66,15671273,408485240735000.0,108602,7105965,0.4534
2022-04-25,ITC,EQ,261.1,258.8,259.0,252.5,255.5,255.25,255.29,24208645,618030191015000.0,173578,13167724,0.5439
2022-04-26,ITC,EQ,255.25,256.6,260.7,256.25,258.85,258.95,258.6,20536714,531089095805000.0,110569,10774226,0.5246000000000001
2022-04-27,ITC,EQ,258.95,256.2,258.5,255.75,257.2,257.5,257.23,16580824,426503950535000.0,91550,10420875,0.6285000000000001
2022-04-28,ITC,EQ,257.5,259.5,263.7,258.15,261.95,261.1,260.79,27924384,728245733165000.0,131008,18675695,0.6688
2022-04-29,ITC,EQ,261.1,263.0,263.0,258.5,259.5,259.55,260.72,20419904,532394077164999.94,110925,13489071,0.6606000000000001
2022-05-02,ITC,EQ,259.55,258.0,264.5,257.05,263.8,263.15,261.53,18965820,496008032625000.0,158584,11565438,0.6098
2022-05-04,ITC,EQ,263.15,264.0,266.05,258.6,260.3,259.75,263.04,25951999,682648359930000.0,168036,16974299,0.6541
2022-05-05,ITC,EQ,259.75,262.0,265.2,260.4,262.0,262.05,263.04,17932895,471698671745000.0,115437,11443309,0.6381
2022-05-06,ITC,EQ,262.05,259.0,267.35,258.9,265.65,266.65,264.96,34490123,913835191510000.0,251642,19075746,0.5531
2022-05-09,ITC,EQ,266.65,266.15,266.15,260.55,263.15,262.95,263.34,21403710,563638053755000.0,203003,13686206,0.6394
