Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,KALYANKJIL,EQ,59.6,59.5,60.25,58.7,59.0,59.05,59.27,898157,5323816220000.0,9184,394157,0.4389
2022-03-29,KALYANKJIL,EQ,59.05,59.05,61.4,59.05,60.8,60.8,60.54,1551398,9392542455000.0,11886,735730,0.4742
2022-03-30,KALYANKJIL,EQ,60.8,61.0,61.7,60.55,60.7,60.95,61.14,844773,5165010145000.0,8382,466630,0.5524
2022-03-31,KALYANKJIL,EQ,60.95,61.0,61.25,57.7,59.05,58.75,59.65,2185831,13038307415000.0,12224,1365279,0.6246
2022-04-01,KALYANKJIL,EQ,58.75,59.7,62.8,59.15,61.95,61.9,61.64,1571336,9685185225000.0,12841,568625,0.3619
2022-04-04,KALYANKJIL,EQ,61.9,62.1,64.9,61.8,64.75,64.5,63.82,2283216,14570509815000.0,18272,916963,0.40159999999999996
2022-04-05,KALYANKJIL,EQ,64.5,65.5,65.8,63.9,64.15,64.35,64.97,1238490,8046435500000.0,8968,459260,0.37079999999999996
2022-04-06,KALYANKJIL,EQ,64.35,64.15,66.95,63.75,66.3,66.3,65.63,1645905,10802736105000.0,13414,636625,0.38680000000000003
2022-04-07,KALYANKJIL,EQ,66.3,66.3,67.05,64.5,66.1,66.1,65.87,1496782,9859068750000.0,11388,569143,0.38020000000000004
2022-04-08,KALYANKJIL,EQ,66.1,66.5,67.0,65.6,66.15,66.2,66.16,848713,5614947460000.0,7040,307574,0.3624
2022-04-11,KALYANKJIL,EQ,66.2,66.25,66.9,65.4,65.5,65.6,65.92,588932,3882378390000.0,4768,242444,0.4117
2022-04-12,KALYANKJIL,EQ,65.6,65.15,65.45,64.35,64.5,64.5,64.69,551039,3564603170000.0005,4220,289281,0.525
2022-04-13,KALYANKJIL,EQ,64.5,64.6,66.4,64.55,65.65,65.6,65.51,756829,4957825095000.0,8411,313184,0.41380000000000006
2022-04-18,KALYANKJIL,EQ,65.6,65.45,65.45,63.85,64.0,64.0,64.45,584317,3766036925000.0,4977,300735,0.5147
2022-04-19,KALYANKJIL,EQ,64.0,64.6,64.85,61.5,62.5,62.8,63.74,414094,2639585625000.0,3962,250374,0.6046
2022-04-20,KALYANKJIL,EQ,62.8,63.0,64.95,62.8,63.15,63.05,63.8,828967,5288782710000.0,6838,200665,0.2421
2022-04-21,KALYANKJIL,EQ,63.05,63.9,64.8,63.6,64.1,64.15,64.12,461748,2960589870000.0,3751,204919,0.44380000000000003
2022-04-22,KALYANKJIL,EQ,64.15,63.4,64.25,62.9,63.2,63.15,63.53,347322,2206497740000.0,3743,156360,0.45020000000000004
2022-04-25,KALYANKJIL,EQ,63.15,62.8,62.8,61.55,62.35,61.95,62.04,426185,2644093440000.0,3876,252929,0.5935
2022-04-26,KALYANKJIL,EQ,61.95,62.95,63.75,62.45,63.0,63.2,63.02,417059,2628281420000.0,4276,202804,0.4863
2022-04-27,KALYANKJIL,EQ,63.2,63.0,63.2,62.05,62.15,62.2,62.54,479314,2997446650000.0,4392,226199,0.4719
2022-04-28,KALYANKJIL,EQ,62.2,62.2,62.85,61.45,61.9,61.7,61.94,383496,2375396615000.0,3362,228432,0.5957
2022-04-29,KALYANKJIL,EQ,61.7,62.25,62.5,60.7,61.3,60.9,61.54,325871,2005540355000.0,3711,162534,0.4988
2022-05-02,KALYANKJIL,EQ,60.9,60.35,61.8,60.35,60.95,60.6,60.9,509294,3101444790000.0,5656,171096,0.33590000000000003
