Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,MUTHOOTFIN,EQ,1307.65,1318.5,1318.5,1283.1,1291.0,1291.7,1293.34,685171,88615666450000.0,43534,293972,0.429
2022-03-29,MUTHOOTFIN,EQ,1291.7,1303.0,1314.95,1286.5,1291.3,1293.2,1297.84,993257,128908528630000.0,30958,448649,0.45170000000000005
2022-03-30,MUTHOOTFIN,EQ,1293.2,1305.0,1319.0,1291.45,1305.05,1315.2,1306.2,527708,68929229054999.99,32308,206827,0.39189999999999997
2022-03-31,MUTHOOTFIN,EQ,1315.2,1320.0,1338.45,1307.35,1336.0,1330.95,1321.03,632616,83570231805000.0,31163,336495,0.5319
2022-04-01,MUTHOOTFIN,EQ,1330.95,1335.0,1359.0,1331.15,1353.0,1354.75,1347.69,443146,59722214690000.0,19780,201515,0.4547
2022-04-04,MUTHOOTFIN,EQ,1354.75,1358.0,1367.0,1346.0,1360.0,1362.3,1357.09,431309,58532495265000.0,21971,228143,0.529
2022-04-05,MUTHOOTFIN,EQ,1362.3,1356.0,1374.0,1354.3,1366.6,1365.95,1365.27,524664,71630575805000.0,18681,274720,0.5236
2022-04-06,MUTHOOTFIN,EQ,1365.95,1360.0,1382.0,1356.75,1367.0,1365.6,1367.49,336265,45983748700000.0,19614,168550,0.5012
2022-04-07,MUTHOOTFIN,EQ,1365.6,1363.9,1381.0,1355.0,1361.9,1358.25,1365.77,412378,56321246490000.0,30852,193607,0.46950000000000003
2022-04-08,MUTHOOTFIN,EQ,1358.25,1370.0,1384.0,1360.65,1374.9,1374.95,1375.52,311760,42883208835000.0,22274,110554,0.3546
2022-04-11,MUTHOOTFIN,EQ,1374.95,1370.0,1381.0,1360.0,1374.0,1371.35,1370.96,899835,123363557009999.98,30281,273548,0.304
2022-04-12,MUTHOOTFIN,EQ,1371.35,1361.25,1377.6,1333.0,1351.0,1347.6,1348.19,621814,83832345320000.0,26895,376327,0.6052000000000001
2022-04-13,MUTHOOTFIN,EQ,1347.6,1350.65,1356.8,1333.15,1336.75,1336.8,1343.77,433733,58283574465000.0,32269,202495,0.4669
2022-04-18,MUTHOOTFIN,EQ,1336.8,1336.0,1336.0,1295.4,1319.15,1319.15,1310.0,480858,62992381895000.01,35374,201810,0.4197
2022-04-19,MUTHOOTFIN,EQ,1319.15,1325.0,1345.0,1290.0,1293.35,1303.5,1317.0,422307,55617881154999.99,26162,228773,0.5417000000000001
