Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,RHIM,EQ,614.0,617.9,620.5,601.7,610.3,610.1,608.63,225228,13708035475000.0,11214,74643,0.33140000000000003
2022-03-29,RHIM,EQ,610.1,611.0,633.9,610.9,632.5,629.2,623.9,452217,28213709160000.004,16981,133910,0.2961
2022-03-30,RHIM,EQ,629.2,634.9,644.0,582.35,600.0,601.3,621.56,361429,22464870565000.0,15903,113995,0.3154
2022-03-31,RHIM,EQ,601.3,603.0,619.45,595.65,615.65,612.95,607.93,235585,14322020990000.0,9735,65435,0.2778
2022-04-01,RHIM,EQ,612.95,620.3,632.4,604.0,611.45,608.55,620.52,249798,15500506730000.002,12131,94466,0.37820000000000004
2022-04-04,RHIM,EQ,608.55,614.95,620.45,604.95,611.15,612.8,610.65,211536,12917480910000.0,9277,95521,0.4516
2022-04-05,RHIM,EQ,612.8,618.8,628.0,598.0,604.8,611.15,616.57,294160,18136912140000.0,14645,139896,0.4756
2022-04-06,RHIM,EQ,611.15,602.0,625.15,602.0,614.0,612.25,615.6,217929,13415740620000.0,13233,87334,0.4007
2022-04-07,RHIM,EQ,612.25,613.85,623.0,600.55,607.0,604.5,612.8,158909,9738000065000.0,10237,70825,0.4457
2022-04-08,RHIM,EQ,604.5,608.8,619.5,605.5,610.0,613.1,613.57,222846,13673134440000.0,9642,92495,0.41509999999999997
2022-04-11,RHIM,EQ,613.1,611.0,644.8,610.0,625.0,625.25,632.1,478910,30271868885000.004,23633,229724,0.4797
2022-04-12,RHIM,EQ,625.25,629.0,637.0,612.0,623.9,622.0,622.02,275529,17138341340000.0,8973,135751,0.4927
2022-04-13,RHIM,EQ,622.0,628.0,668.0,621.25,651.9,649.7,653.65,1485739,97115484195000.0,39662,467596,0.3147
2022-04-18,RHIM,EQ,649.7,649.7,673.0,634.75,664.85,663.0,659.0,576986,38023428080000.0,24200,181306,0.31420000000000003
2022-04-19,RHIM,EQ,663.0,669.9,674.0,631.0,636.0,638.4,653.55,255717,16712372775000.0,10699,112175,0.4387
2022-04-20,RHIM,EQ,638.4,647.95,650.0,610.5,619.1,617.3,627.74,258882,16250965360000.0,12430,98030,0.3787
2022-04-21,RHIM,EQ,617.3,623.0,627.25,612.8,622.5,620.7,619.44,107149,6637199960000.0,5096,47068,0.4393
2022-04-22,RHIM,EQ,620.7,619.85,648.0,616.35,637.55,637.35,637.33,210695,13428142219999.998,11320,84835,0.4026
2022-04-25,RHIM,EQ,637.35,626.3,643.0,614.0,620.0,617.35,628.72,235203,14787586319999.998,14654,120701,0.5132
2022-04-26,RHIM,EQ,617.35,622.75,637.0,616.5,617.2,617.95,625.21,187600,11728959485000.0,9787,77191,0.4115
2022-04-27,RHIM,EQ,617.95,619.45,629.95,607.5,618.5,617.65,616.3,125237,7718297265000.001,6006,45959,0.36700000000000005
2022-04-28,RHIM,EQ,617.65,621.0,634.95,618.1,625.0,622.6,626.94,161104,10100305170000.0,8767,58320,0.36200000000000004
2022-04-29,RHIM,EQ,622.6,625.85,627.6,601.85,603.0,608.05,614.68,106791,6564279415000.0,6571,52282,0.48960000000000004
2022-05-02,RHIM,EQ,608.05,601.0,614.0,590.85,603.0,603.65,603.88,128443,7756419709999.999,7577,54811,0.4267
2022-05-04,RHIM,EQ,603.65,613.9,624.8,592.25,610.3,603.8,609.51,147311,8978822085000.0,9713,54420,0.3694
2022-05-05,RHIM,EQ,603.8,613.0,620.25,590.1,592.0,593.3,602.23,129340,7789194370000.0,10630,60730,0.46950000000000003
2022-05-06,RHIM,EQ,593.3,571.05,584.0,551.0,560.65,558.95,566.37,294668,16689226785000.0,17387,134788,0.45740000000000003
2022-05-09,RHIM,EQ,558.95,558.95,569.0,543.95,548.05,550.35,554.1,171114,9481386590000.0,12531,84243,0.49229999999999996
2022-05-10,RHIM,EQ,550.35,549.0,575.05,549.0,568.15,569.35,569.23,236079,13438404480000.002,12819,71691,0.3037
2022-05-11,RHIM,EQ,569.35,570.9,620.0,524.05,545.2,548.6,551.44,414733,22870068530000.0,20712,177268,0.4274
2022-05-12,RHIM,EQ,548.6,530.0,548.7,527.0,533.0,535.45,538.17,209259,11261791485000.0,14032,114505,0.5472
2022-05-13,RHIM,EQ,535.45,540.0,563.45,525.9,549.85,544.1,537.83,1125959,60557350620000.01,26529,907270,0.8058
2022-05-16,RHIM,EQ,544.1,553.7,579.0,546.0,564.0,561.55,567.28,260179,14759347900000.0,16239,90894,0.3494
2022-05-17,RHIM,EQ,561.55,567.4,572.0,557.05,569.0,570.0,568.78,134596,7655489345000.0,9747,66793,0.4962
2022-05-18,RHIM,EQ,570.0,570.0,618.0,569.95,600.0,599.75,600.53,510424,30652701195000.0,24135,153590,0.3009
2022-05-19,RHIM,EQ,599.75,583.0,604.35,570.5,583.15,588.6,593.58,276045,16385549360000.0,17486,89571,0.3245
2022-05-20,RHIM,EQ,588.6,597.55,605.5,597.45,602.0,600.9,601.8,115364,6942583820000.0,6270,57024,0.4943
2022-05-23,RHIM,EQ,600.9,606.6,606.65,540.65,552.0,550.45,568.57,592521,33688765530000.0,21284,376468,0.6354
2022-05-24,RHIM,EQ,550.45,556.0,568.35,531.85,543.75,543.4,544.39,369618,20121499715000.0,16696,150124,0.4062
2022-05-25,RHIM,EQ,543.4,548.9,567.0,527.65,533.5,534.15,545.58,180504,9847866050000.0,13541,68126,0.3774
2022-05-26,RHIM,EQ,534.15,534.5,539.7,484.05,530.0,525.3,512.03,356931,18275780895000.0,22353,99852,0.2798
2022-05-27,RHIM,EQ,525.3,533.0,579.95,501.2,549.0,556.1,550.01,935333,51444519330000.0,29042,200471,0.2143
2022-05-30,RHIM,EQ,556.1,558.0,567.9,540.15,549.0,550.3,551.01,624076,34386900575000.0,21585,390914,0.6264000000000001
2022-05-31,RHIM,EQ,550.3,553.75,565.0,522.0,555.5,536.65,541.34,1052996,57003116685000.0,31080,657755,0.6247
2022-06-01,RHIM,EQ,536.65,542.05,608.95,542.05,592.5,595.15,592.18,2164528,128179157100000.0,66189,339426,0.1568
2022-06-02,RHIM,EQ,595.15,592.5,592.5,561.0,570.0,565.0,574.51,478095,27466916360000.004,17913,156292,0.32689999999999997
2022-06-03,RHIM,EQ,565.0,572.7,583.05,561.35,569.35,570.15,571.25,341445,19505037555000.0,13641,85751,0.2511
2022-06-06,RHIM,EQ,570.15,570.15,574.7,560.0,569.0,566.55,567.18,163582,9278115900000.0,8672,44028,0.2691
2022-06-07,RHIM,EQ,566.55,567.55,570.9,555.35,566.0,565.3,562.23,116847,6569508415000.0,4516,23871,0.2043
2022-06-08,RHIM,EQ,565.3,570.0,573.2,545.0,547.25,549.65,559.1,103297,5775362100000.0,4798,41771,0.4044
2022-06-09,RHIM,EQ,549.65,548.8,573.0,541.55,553.0,551.6,554.93,185436,10290371810000.0,9437,49641,0.2677
2022-06-10,RHIM,EQ,551.6,543.0,557.5,537.0,537.05,539.85,548.48,259572,14237059669999.998,6226,154315,0.5945
2022-06-13,RHIM,EQ,539.85,537.05,537.05,491.2,500.0,504.65,515.06,314248,16185703415000.0,14850,130275,0.4146
2022-06-14,RHIM,EQ,504.65,492.0,514.65,492.0,502.5,503.3,506.04,144439,7309240195000.0,7572,30029,0.2079
2022-06-15,RHIM,EQ,503.3,504.9,518.0,501.15,504.9,505.35,510.49,136468,6966619925000.0,6272,25067,0.1837
2022-06-16,RHIM,EQ,505.35,509.45,512.95,491.05,499.95,500.0,501.39,203223,10189447140000.0,8954,80635,0.3968
2022-06-17,RHIM,EQ,500.0,488.0,509.8,484.0,495.7,496.65,498.69,211870,10565649295000.0,11878,118394,0.5588000000000001
2022-06-20,RHIM,EQ,496.65,490.1,496.45,470.0,470.1,477.0,481.92,194376,9367373995000.0,13433,84515,0.43479999999999996
2022-06-21,RHIM,EQ,477.0,475.05,490.0,468.9,484.95,486.35,479.35,188483,9034895400000.0,10879,98360,0.5219
2022-06-22,RHIM,EQ,486.35,478.1,485.0,465.0,465.3,467.45,474.65,98813,4690195960000.0,4822,51044,0.5166
2022-06-23,RHIM,EQ,467.45,465.0,482.2,462.0,469.7,470.55,472.79,77204,3650111515000.0,4733,22371,0.32780000000000004
2022-06-24,RHIM,EQ,470.55,476.0,492.5,476.0,481.5,481.45,483.54,114272,5525514465000.0,5641,29483,0.258
2022-06-27,RHIM,EQ,481.45,493.6,498.0,478.0,493.0,492.0,489.09,200926,9827128260000.0,11303,97510,0.4853
2022-06-28,RHIM,EQ,492.0,495.0,496.85,482.45,488.55,487.8,489.01,80907,3956415335000.0,4697,22461,0.2776
2022-06-29,RHIM,EQ,487.8,484.0,493.0,480.1,481.0,483.6,486.52,82715,4024220960000.0,3945,34184,0.4133
2022-06-30,RHIM,EQ,483.6,480.0,508.9,480.0,496.5,501.5,501.27,327398,16411591265000.0,16144,107625,0.3287
2022-07-01,RHIM,EQ,501.5,502.5,513.95,497.65,501.95,503.45,504.19,165626,8350758670000.0,13399,42786,0.2583
2022-07-04,RHIM,EQ,503.45,503.45,528.0,500.5,519.4,521.75,513.52,152064,7808785225000.0,7010,49298,0.32420000000000004
2022-07-05,RHIM,EQ,521.75,522.8,528.0,502.35,505.0,507.6,516.89,126830,6555757410000.0,8500,58662,0.4625
2022-07-06,RHIM,EQ,507.6,506.0,527.0,506.0,524.85,519.05,518.4,108218,5610073415000.0,7619,31727,0.2932
2022-07-07,RHIM,EQ,519.05,529.95,531.0,515.25,521.0,519.95,522.11,73238,3823845785000.0,4304,29472,0.40240000000000004
2022-07-08,RHIM,EQ,519.95,527.7,527.7,516.2,519.0,517.25,519.3,36060,1872593380000.0,2752,17377,0.4819
2022-07-11,RHIM,EQ,517.25,515.0,531.0,515.0,527.0,524.1,525.03,64695,3396711390000.0,5246,28153,0.43520000000000003
2022-07-12,RHIM,EQ,524.1,526.5,530.75,520.05,526.0,524.0,525.49,55403,2911380410000.0,3782,20055,0.36200000000000004
2022-07-13,RHIM,EQ,524.0,524.0,543.0,523.95,539.0,540.2,535.67,189334,10141972835000.0,10247,60740,0.3208
2022-07-14,RHIM,EQ,540.2,545.0,550.9,535.6,547.4,546.75,543.97,128667,6999088470000.0,6276,47962,0.3728
2022-07-15,RHIM,EQ,546.75,552.95,555.0,534.0,544.1,543.15,543.8,98873,5376750730000.0,5319,39148,0.39590000000000003
2022-07-18,RHIM,EQ,543.15,548.0,549.55,530.05,536.3,533.4,537.6,102894,5531553290000.0,5158,58511,0.5687
2022-07-19,RHIM,EQ,533.4,534.0,554.9,533.0,535.0,534.2,540.94,640051,34622821989999.996,11165,439419,0.6865000000000001
2022-07-20,RHIM,EQ,534.2,543.9,544.0,525.0,527.75,527.25,537.04,302402,16240191830000.002,5504,230540,0.7624
2022-07-21,RHIM,EQ,527.25,529.0,534.9,520.55,525.85,523.75,526.63,98773,5201731745000.0,5818,41252,0.41759999999999997
2022-07-22,RHIM,EQ,523.75,528.6,538.0,455.7,534.5,534.2,526.18,234215,12324034675000.0,10778,99662,0.4255
2022-07-25,RHIM,EQ,534.2,539.55,543.95,521.1,523.0,523.7,530.7,121935,6471074825000.0,5590,60762,0.4983
2022-07-26,RHIM,EQ,523.7,529.0,532.0,513.75,525.0,520.35,519.55,111074,5770836105000.0,4848,67927,0.6115
2022-07-27,RHIM,EQ,520.35,517.0,528.35,515.0,520.7,522.7,521.63,87457,4562039855000.0,6463,39331,0.4497
2022-07-28,RHIM,EQ,522.7,525.35,539.0,522.9,525.5,525.1,531.33,109584,5822512700000.0,11271,52926,0.483
2022-07-29,RHIM,EQ,525.1,529.35,537.0,512.35,517.2,520.25,528.02,174795,9229567370000.0,10629,87006,0.4978
2022-08-01,RHIM,EQ,520.25,520.0,521.85,511.15,514.8,513.05,514.6,176115,9062836180000.0,9628,104838,0.5953
2022-08-02,RHIM,EQ,513.05,511.0,514.0,498.25,505.0,504.2,502.6,240097,12067370600000.0,10002,144332,0.6011
2022-08-03,RHIM,EQ,504.2,503.0,510.4,500.2,509.5,509.25,506.24,90881,4600729685000.0,6078,38784,0.4268
2022-08-04,RHIM,EQ,509.25,510.25,519.45,502.15,503.9,504.7,509.98,110967,5659082480000.0,5120,57686,0.5197999999999999
2022-08-05,RHIM,EQ,504.7,504.05,513.0,500.0,503.0,501.65,505.47,101338,5122355040000.0,4939,55679,0.5494
2022-08-08,RHIM,EQ,501.65,501.5,518.9,501.5,509.2,510.75,509.07,183976,9365742110000.0,10443,107470,0.5842
2022-08-10,RHIM,EQ,510.75,513.25,524.4,507.95,520.0,519.15,517.84,130393,6752252425000.0,5718,74813,0.5738000000000001
2022-08-11,RHIM,EQ,519.15,520.0,535.9,513.15,533.05,533.6,529.11,316768,16760387565000.0,12208,172536,0.5447
2022-08-12,RHIM,EQ,533.6,538.0,554.5,536.7,539.9,540.1,546.09,296584,16196267585000.0,11263,122636,0.41350000000000003
2022-08-16,RHIM,EQ,540.1,548.25,549.5,530.9,534.6,533.4,539.46,101957,5500186495000.0,6601,52373,0.5136999999999999
2022-08-17,RHIM,EQ,533.4,533.4,539.85,526.65,538.0,537.1,533.17,134196,7154876684999.999,5809,66996,0.49920000000000003
2022-08-18,RHIM,EQ,537.1,536.9,564.7,536.85,562.25,561.75,553.7,483173,26753121980000.0,11351,232033,0.4802
2022-08-19,RHIM,EQ,561.75,566.0,574.8,541.0,544.0,545.1,559.32,308869,17275521494999.998,11518,156421,0.5064
2022-08-22,RHIM,EQ,545.1,540.1,544.4,530.35,535.5,536.1,535.18,108304,5796192810000.0,5070,59241,0.547
2022-08-23,RHIM,EQ,536.1,531.25,549.4,530.65,546.0,544.3,542.55,85375,4632012065000.0,4696,32977,0.38630000000000003
2022-08-24,RHIM,EQ,544.3,547.2,576.0,547.2,567.6,566.15,565.16,451080,25493198355000.0,14892,161752,0.3586
2022-08-25,RHIM,EQ,566.15,570.9,572.0,554.0,560.0,557.95,562.95,164345,9251836540000.0,8341,84335,0.5132
2022-08-26,RHIM,EQ,557.95,562.6,563.55,554.0,558.9,557.9,558.3,116690,6514752100000.0,4977,71765,0.615
2022-08-29,RHIM,EQ,557.9,549.0,564.7,545.4,561.5,561.5,557.73,167005,9314340185000.0,7339,91467,0.5477000000000001
2022-08-30,RHIM,EQ,561.5,565.0,598.15,564.95,592.0,593.2,585.77,526459,30838410814999.996,20034,237620,0.4514
2022-09-01,RHIM,EQ,593.2,594.0,633.25,594.0,627.0,624.55,620.72,810832,50330302235000.0,26151,262491,0.3237
2022-09-02,RHIM,EQ,624.55,634.0,636.0,615.65,621.5,623.3,627.84,365811,22967122550000.0,14589,156834,0.42869999999999997
2022-09-05,RHIM,EQ,623.3,627.0,627.0,610.1,614.5,613.65,618.37,246474,15241169090000.0,12333,88176,0.3577
