Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,TEAMLEASE,EQ,3854.15,3847.0,4035.0,3803.15,4025.0,3998.55,3929.43,19541,7678493945000.0,4951,10425,0.5335
2022-03-29,TEAMLEASE,EQ,3998.55,4035.0,4330.55,3967.8,4191.5,4264.2,4177.08,38776,16197059644999.998,9531,11095,0.2861
2022-03-30,TEAMLEASE,EQ,4264.2,4260.0,4295.0,4138.7,4230.0,4234.15,4225.44,23280,9836822090000.0,5559,11293,0.4851
2022-03-31,TEAMLEASE,EQ,4234.15,4165.0,4388.05,4084.0,4310.05,4338.9,4317.23,77050,33264243805000.0,20415,44208,0.5738000000000001
2022-04-01,TEAMLEASE,EQ,4338.9,4300.0,4300.0,4220.0,4230.0,4247.55,4241.84,10882,4615972240000.0,3942,4181,0.38420000000000004
2022-04-04,TEAMLEASE,EQ,4247.55,4202.0,4249.8,4020.0,4040.0,4033.8,4093.08,29236,11966540300000.0,7991,15184,0.5194
2022-04-05,TEAMLEASE,EQ,4033.8,4075.0,4121.6,4021.1,4070.05,4070.25,4085.46,13887,5673482815000.0,3403,4371,0.3148
2022-04-06,TEAMLEASE,EQ,4070.25,4021.0,4109.25,4021.0,4062.0,4051.3,4062.34,5630,2287096480000.0,2043,2361,0.4194
2022-04-07,TEAMLEASE,EQ,4051.3,4039.7,4184.0,3925.0,3936.0,3937.3,4028.35,38801,15630405415000.0,7187,19965,0.5145000000000001
2022-04-08,TEAMLEASE,EQ,3937.3,3956.05,4001.55,3900.0,3900.2,3915.9,3949.0,10777,4255837690000.0,3457,4493,0.4169
2022-04-11,TEAMLEASE,EQ,3915.9,3995.0,4010.0,3880.0,3910.0,3920.15,3958.44,8889,3518654579999.9995,2767,3716,0.418
2022-04-12,TEAMLEASE,EQ,3920.15,3938.0,3965.95,3850.0,3895.0,3891.55,3915.23,48148,18851042200000.0,9310,36137,0.7505
2022-04-13,TEAMLEASE,EQ,3891.55,3925.0,3943.45,3765.2,3790.0,3785.2,3811.12,25037,9541909175000.0,5919,15832,0.6323
