Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,TIMKEN,EQ,2146.9,2157.65,2180.0,2084.8,2135.6,2129.9,2131.43,26908,5735242295000.0,4902,10138,0.3768
2022-03-29,TIMKEN,EQ,2129.9,2135.0,2239.9,2135.0,2186.45,2189.5,2205.07,79907,17620068885000.0,12332,27050,0.3385
2022-03-30,TIMKEN,EQ,2189.5,2189.5,2233.75,2141.35,2145.0,2163.25,2196.54,42985,9441847105000.0,4318,29790,0.693
2022-03-31,TIMKEN,EQ,2163.25,2160.0,2185.8,2103.35,2140.0,2141.1,2141.71,30775,6591105630000.0,6925,12880,0.41850000000000004
2022-04-01,TIMKEN,EQ,2141.1,2151.85,2210.0,2116.0,2130.0,2130.2,2139.9,27079,5794623320000.0,4950,12216,0.4511
2022-04-04,TIMKEN,EQ,2130.2,2169.0,2179.8,2074.6,2095.0,2090.2,2107.34,49250,10378627435000.0,6802,26918,0.5466
2022-04-05,TIMKEN,EQ,2090.2,2097.0,2139.15,2059.65,2080.0,2087.7,2112.87,74589,15759689305000.002,5935,54699,0.7333
2022-04-06,TIMKEN,EQ,2087.7,2096.0,2132.0,2060.0,2124.0,2119.5,2104.16,65470,13775967444999.998,8143,35672,0.5449
2022-04-07,TIMKEN,EQ,2119.5,2128.0,2172.9,2116.0,2120.0,2119.2,2128.37,63113,13432750230000.002,4638,11359,0.18
2022-04-08,TIMKEN,EQ,2119.2,2120.0,2162.0,2120.0,2150.0,2147.4,2141.82,75074,16079501740000.0,4054,59282,0.7896
2022-04-11,TIMKEN,EQ,2147.4,2158.7,2208.0,2158.7,2185.0,2190.5,2186.1,27529,6018122365000.0,4939,13630,0.4951
2022-04-12,TIMKEN,EQ,2190.5,2206.0,2206.0,2111.0,2124.0,2133.05,2143.31,18475,3959770529999.9995,3535,8311,0.4499
2022-04-13,TIMKEN,EQ,2133.05,2133.05,2160.0,2125.0,2134.5,2142.0,2143.96,9367,2008249505000.0,2188,4078,0.4354
