Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-28,TV18BRDCST,EQ,72.9,73.5,74.95,72.15,72.5,72.8,73.75,16317072,120332816765000.02,39414,4089452,0.2506
2022-03-29,TV18BRDCST,EQ,72.8,73.35,73.75,69.45,72.25,71.4,71.28,16464222,117358561345000.0,38857,5672904,0.3446
2022-03-30,TV18BRDCST,EQ,71.4,73.85,78.25,72.85,73.2,73.4,75.87,47122901,357524724705000.0,127066,11829037,0.251
2022-03-31,TV18BRDCST,EQ,73.4,73.4,74.8,73.0,74.05,74.05,73.86,11721007,86576519000000.0,27075,2868082,0.2447
2022-04-01,TV18BRDCST,EQ,74.05,74.65,76.4,74.25,75.1,75.1,75.2,12985992,97652193140000.0,37853,3649066,0.281
2022-04-04,TV18BRDCST,EQ,75.1,75.75,81.2,75.0,79.85,79.95,78.09,41167672,321475753495000.0,91055,14003232,0.34020000000000006
2022-04-05,TV18BRDCST,EQ,79.95,80.7,82.6,78.6,79.25,79.35,80.99,35843505,290299295465000.0,86809,10401297,0.2902
2022-04-06,TV18BRDCST,EQ,79.35,79.2,82.1,78.3,80.1,80.0,80.55,18311486,147493573295000.0,43046,4785105,0.2613
2022-04-07,TV18BRDCST,EQ,80.0,80.45,82.15,76.5,76.95,77.15,79.72,21135001,168498298325000.0,50891,6935304,0.3281
2022-04-08,TV18BRDCST,EQ,77.15,77.5,78.0,75.3,75.4,75.55,76.6,13509679,103478563765000.0,42890,5248694,0.3885
2022-04-11,TV18BRDCST,EQ,75.55,75.6,78.8,75.3,78.3,78.05,77.28,14813712,114473912870000.0,40171,4677716,0.31579999999999997
2022-04-12,TV18BRDCST,EQ,78.05,78.4,78.45,75.6,75.8,75.95,76.57,10361849,79335862730000.0,25542,3360389,0.3243
2022-04-13,TV18BRDCST,EQ,75.95,76.55,77.35,74.4,74.7,74.75,75.99,10206062,77552216950000.0,29535,3793582,0.37170000000000003
2022-04-18,TV18BRDCST,EQ,74.75,74.55,76.25,73.15,74.7,74.9,75.06,19829106,148835633625000.0,53816,5149457,0.2597
